Devices,Run,Algorithm,VCSize,ExecutionTime,Density,Error,ApproximationRatio,GraphFile
18,3,EdgeGreedy,16,0.0,0.549,6.6667,1.0667,graphs/N18_run3_EdgeGreedy.png
18,4,BruteForce,14,186.0802,0.451,0.0,1.0,graphs/N18_run4_BruteForce.png
18,4,Backtracking,14,20.9987,0.451,0.0,1.0,graphs/N18_run4_Backtracking.png
18,4,Greedy,14,0.0,0.451,0.0,1.0,graphs/N18_run4_Greedy.png
18,4,EdgeGreedy,16,0.0,0.451,14.2857,1.1429,graphs/N18_run4_EdgeGreedy.png
18,5,BruteForce,14,195.0831,0.5294,0.0,1.0,graphs/N18_run5_BruteForce.png
18,5,Backtracking,14,33.452,0.5294,0.0,1.0,graphs/N18_run5_Backtracking.png
18,5,Greedy,14,1.0002,0.5294,0.0,1.0,graphs/N18_run5_Greedy.png
18,5,EdgeGreedy,16,0.0,0.5294,14.2857,1.1429,graphs/N18_run5_EdgeGreedy.png
19,1,BruteForce,17,480.7096,0.7193,0.0,1.0,graphs/N19_run1_BruteForce.png
19,1,Backtracking,17,149.1585,0.7193,0.0,1.0,graphs/N19_run1_Backtracking.png
19,1,Greedy,17,0.0,0.7193,0.0,1.0,graphs/N19_run1_Greedy.png
19,1,EdgeGreedy,18,1.1024,0.7193,5.8824,1.0588,graphs/N19_run1_EdgeGreedy.png
19,2,BruteForce,16,419.4148,0.5965,0.0,1.0,graphs/N19_run2_BruteForce.png
19,2,Backtracking,16,102.0846,0.5965,0.0,1.0,graphs/N19_run2_Backtracking.png
19,2,Greedy,16,0.0,0.5965,0.0,1.0,graphs/N19_run2_Greedy.png
19,2,EdgeGreedy,18,0.0,0.5965,12.5,1.125,graphs/N19_run2_EdgeGreedy.png
19,3,BruteForce,16,415.9987,0.5965,0.0,1.0,graphs/N19_run3_BruteForce.png
19,3,Backtracking,16,95.0513,0.5965,0.0,1.0,graphs/N19_run3_Backtracking.png
19,3,Greedy,16,0.0,0.5965,0.0,1.0,graphs/N19_run3_Greedy.png
19,3,EdgeGreedy,18,0.0,0.5965,12.5,1.125,graphs/N19_run3_EdgeGreedy.png
